osm_id,repr_road,lon,lat
37135244,37135244,8.390801,34.51963
39250101,39250101,10.124417,37.21496
41047924,41047924,9.066873,31.943504
41119452,41119452,8.255681,35.788124
43992838,43992838,9.911008,33.778297
44822099,44822099,10.480294,33.36701
53309015,53309015,8.991844,34.3313
53311017,53311017,8.459531,35.570286
53311021,53311021,8.501058,35.57426
53378987,53378987,8.394556,36.463287
53378992,53378992,8.808428,36.158844
53378993,53378993,8.7474375,35.668797
53378998,53378998,9.321481,36.32318
53379002,53379002,8.828813,36.244724
53379011,53379011,9.603936,36.522243
53396795,53396795,9.99104,34.445786
55213154,55213154,8.800046,34.41014
59546438,59546438,8.972141,33.7071
94066504,94066504,10.560422,35.89597
96387916,96387916,9.770916,33.27337
97179178,97179178,9.207793,35.903572
98554867,98554867,9.494365,35.527363
99275022,99275022,8.69076,36.778816
102343796,102343796,11.495238,33.14166
102420143,102420143,10.652215,31.915699
103533125,103533125,9.978049,32.584072
104520950,104520950,9.679842,35.32688
112489812,112489812,9.57155,36.09549
115386175,115386175,8.317328,36.580276
154962159,154962159,10.319154,32.36245
154962190,154962190,10.31822,32.36275
156265800,156265800,10.712484,35.095303
157400198,157400198,11.490962,33.18329
170079214,170079214,9.442967,34.573887
174828179,174828179,8.8843565,34.95595
178548553,178548553,8.348711,36.421707
187241414,187241414,10.704698,32.01093
207084111,207084111,8.366866,35.012028
207642745,207642745,9.221372,31.683548
209606698,209606698,8.266107,34.812454
246391079,246391079,8.985775,33.734127
408714253,408714253,10.059304,33.80385
408875030,408875030,10.285966,33.567604
409626067,409626067,11.421609,33.147427
538336881,538336881,8.977136,36.798298
580526811,580526811,8.968791,36.63656
713587706,713587706,8.249265,35.90079
912827915,912827915,9.938351,33.866814
1018890178,1018890178,11.405268,33.137543
22958738,22958738,-1.3890257,12.505078
22958747,22958747,-1.632313,12.325566
23691148,23691148,-1.2722462,12.505735
23691932,23691932,-1.5439318,12.363604
25511651,25511651,-2.8676543,13.911884
27556383,27556383,-1.5500103,12.381023
27557422,27557422,-1.515591,12.382974
27569963,27569963,-1.4975646,12.37042
27886044,27886044,-1.3538818,12.442549
29317892,29317892,-1.2022296,11.742363
29972495,29972495,-2.9130125,11.780412
31571054,31571054,-2.9643638,10.145433
31571400,31571400,-3.371252,10.539315
31572487,31572487,-1.7465377,11.483767
31798069,31798069,0.7616197,11.100994
31894103,31894103,-0.4322762,12.223858
34315696,34315696,-4.297526,11.169456
54637817,54637817,-3.6503084,12.051459
56082856,56082856,-3.2244675,10.601891
59257308,59257308,-5.0300617,10.64661
59470468,59470468,-3.6570828,10.925467
66042267,66042267,-2.7964523,11.035015
79240776,79240776,-4.990233,10.204452
80361839,80361839,0.6495908,11.28172
80361845,80361845,-0.5177244,12.214198
80361852,80361852,1.5083503,12.478167
82907172,82907172,-3.3602314,12.544744
84665522,84665522,-3.7602944,11.850314
85640037,85640037,-1.132057,11.170879
85641487,85641487,-1.1800352,11.454999
126501583,126501583,0.35152563,12.073435
128240635,128240635,-4.75585,10.6298275
159585665,159585665,-0.24818276,13.628946
179614294,179614294,-0.4309238,12.246432
180893275,180893275,-2.7428174,11.779973
207560803,207560803,-2.4259555,13.567966
220539774,220539774,-3.1030197,11.289923
224103840,224103840,1.5642589,12.441863
231554983,231554983,0.6108037,11.030959
305696126,305696126,-0.7286339,13.235184
313523494,313523494,-1.1155092,11.000946
325080692,325080692,1.7786113,12.570897
361366641,361366641,-0.034049824,14.036311
383159940,383159940,-5.1096215,10.613923
386602856,386602856,-4.6297054,12.025499
473339449,473339449,-2.9068377,9.983909
683824617,683824617,0.5822828,11.053824
1016077270,1016077270,-1.4337182,12.473931
1108588951,1108588951,-2.6270978,12.750143
5104331,5104331,32.47117,15.607262
5131157,5131157,32.483044,15.6180935
5131227,5131227,32.46699,15.608255
5131228,5131228,32.48749,15.619786
5131231,5131231,32.48904,15.636424
5131568,5131568,32.519028,15.5818405
5136268,5136268,32.567055,15.540938
5153612,5153612,32.457035,15.610605
9651467,9651467,31.228,17.955269
23064282,23064282,33.328617,14.782283
26333778,26333778,37.036198,20.891788
26333973,26333973,37.364105,18.989334
26491756,26491756,37.205658,19.629946
26491765,26491765,37.222755,19.63914
